date,year,month,day,day_of_week,is_weekend,is_public_holiday,public_holiday_name,public_holiday_region,is_school_term,is_retail_peak
2024-07-01,2024,7,1,0,False,False,,,True,False
2024-07-02,2024,7,2,1,False,False,,,True,False
2024-07-03,2024,7,3,2,False,False,,,True,False
2024-07-04,2024,7,4,3,False,False,,,True,False
2024-07-05,2024,7,5,4,False,False,,,True,False
2024-07-06,2024,7,6,5,True,False,,,False,True
2024-07-07,2024,7,7,6,True,False,,,False,True
2024-07-08,2024,7,8,0,False,False,,,False,True
2024-07-09,2024,7,9,1,False,False,,,False,True
2024-07-10,2024,7,10,2,False,False,,,False,True
2024-07-11,2024,7,11,3,False,False,,,False,True
2024-07-12,2024,7,12,4,False,False,,,False,True
2024-07-13,2024,7,13,5,True,False,,,False,True
2024-07-14,2024,7,14,6,True,False,,,False,True
2024-07-15,2024,7,15,0,False,False,,,False,True
2024-07-16,2024,7,16,1,False,False,,,False,True
2024-07-17,2024,7,17,2,False,False,,,False,True
2024-07-18,2024,7,18,3,False,False,,,False,True
2024-07-19,2024,7,19,4,False,False,,,False,True
2024-07-20,2024,7,20,5,True,False,,,False,True
2024-07-21,2024,7,21,6,True,False,,,False,True
2024-07-22,2024,7,22,0,False,False,,,True,False
2024-07-23,2024,7,23,1,False,False,,,True,False
2024-07-24,2024,7,24,2,False,False,,,True,False
2024-07-25,2024,7,25,3,False,False,,,True,False
2024-07-26,2024,7,26,4,False,False,,,True,False
2024-07-27,2024,7,27,5,True,False,,,True,False
2024-07-28,2024,7,28,6,True,False,,,True,False
2024-07-29,2024,7,29,0,False,False,,,True,False
2024-07-30,2024,7,30,1,False,False,,,True,False
2024-07-31,2024,7,31,2,False,False,,,True,False
2024-08-01,2024,8,1,3,False,False,,,True,False
2024-08-02,2024,8,2,4,False,False,,,True,False
2024-08-03,2024,8,3,5,True,False,,,True,False
2024-08-04,2024,8,4,6,True,False,,,True,False
2024-08-05,2024,8,5,0,False,False,,,True,False
2024-08-06,2024,8,6,1,False,False,,,True,False
2024-08-07,2024,8,7,2,False,False,,,True,False
2024-08-08,2024,8,8,3,False,False,,,True,False
2024-08-09,2024,8,9,4,False,False,,,True,False
2024-08-10,2024,8,10,5,True,False,,,True,False
2024-08-11,2024,8,11,6,True,False,,,True,False
2024-08-12,2024,8,12,0,False,False,,,True,False
2024-08-13,2024,8,13,1,False,False,,,True,False
2024-08-14,2024,8,14,2,False,False,,,True,False
2024-08-15,2024,8,15,3,False,False,,,True,False
2024-08-16,2024,8,16,4,False,False,,,True,False
2024-08-17,2024,8,17,5,True,False,,,True,False
2024-08-18,2024,8,18,6,True,False,,,True,False
2024-08-19,2024,8,19,0,False,False,,,True,False
2024-08-20,2024,8,20,1,False,False,,,True,False
2024-08-21,2024,8,21,2,False,False,,,True,False
2024-08-22,2024,8,22,3,False,False,,,True,False
2024-08-23,2024,8,23,4,False,False,,,True,False
2024-08-24,2024,8,24,5,True,False,,,True,False
2024-08-25,2024,8,25,6,True,False,,,True,False
2024-08-26,2024,8,26,0,False,False,,,True,False
2024-08-27,2024,8,27,1,False,False,,,True,False
2024-08-28,2024,8,28,2,False,False,,,True,False
2024-08-29,2024,8,29,3,False,False,,,True,False
2024-08-30,2024,8,30,4,False,False,,,True,False
2024-08-31,2024,8,31,5,True,False,,,True,False
2024-09-01,2024,9,1,6,True,False,,,True,False
2024-09-02,2024,9,2,0,False,False,,,True,False
2024-09-03,2024,9,3,1,False,False,,,True,False
2024-09-04,2024,9,4,2,False,False,,,True,False
2024-09-05,2024,9,5,3,False,False,,,True,False
2024-09-06,2024,9,6,4,False,False,,,True,False
2024-09-07,2024,9,7,5,True,False,,,True,False
2024-09-08,2024,9,8,6,True,False,,,True,False
2024-09-09,2024,9,9,0,False,False,,,True,False
2024-09-10,2024,9,10,1,False,False,,,True,False
2024-09-11,2024,9,11,2,False,False,,,True,False
2024-09-12,2024,9,12,3,False,False,,,True,False
2024-09-13,2024,9,13,4,False,False,,,True,False
2024-09-14,2024,9,14,5,True,False,,,True,False
2024-09-15,2024,9,15,6,True,False,,,True,False
2024-09-16,2024,9,16,0,False,False,,,True,False
2024-09-17,2024,9,17,1,False,False,,,True,False
2024-09-18,2024,9,18,2,False,False,,,True,False
2024-09-19,2024,9,19,3,False,False,,,True,False
2024-09-20,2024,9,20,4,False,False,,,True,False
2024-09-21,2024,9,21,5,True,False,,,True,False
2024-09-22,2024,9,22,6,True,False,,,True,False
2024-09-23,2024,9,23,0,False,False,,,True,False
2024-09-24,2024,9,24,1,False,False,,,True,False
2024-09-25,2024,9,25,2,False,False,,,True,False
2024-09-26,2024,9,26,3,False,False,,,True,False
2024-09-27,2024,9,27,4,False,False,,,True,False
2024-09-28,2024,9,28,5,True,False,,,False,True
2024-09-29,2024,9,29,6,True,False,,,False,True
2024-09-30,2024,9,30,0,False,False,,,False,True
2024-10-01,2024,10,1,1,False,False,,,False,True
2024-10-02,2024,10,2,2,False,False,,,False,True
2024-10-03,2024,10,3,3,False,False,,,False,True
2024-10-04,2024,10,4,4,False,False,,,False,True
2024-10-05,2024,10,5,5,True,False,,,False,True
2024-10-06,2024,10,6,6,True,False,,,False,True
2024-10-07,2024,10,7,0,False,False,,,False,True
2024-10-08,2024,10,8,1,False,False,,,False,True
2024-10-09,2024,10,9,2,False,False,,,False,True
2024-10-10,2024,10,10,3,False,False,,,False,True
2024-10-11,2024,10,11,4,False,False,,,False,True
2024-10-12,2024,10,12,5,True,False,,,False,True
2024-10-13,2024,10,13,6,True,False,,,False,True
2024-10-14,2024,10,14,0,False,False,,,True,False
2024-10-15,2024,10,15,1,False,False,,,True,False
2024-10-16,2024,10,16,2,False,False,,,True,False
2024-10-17,2024,10,17,3,False,False,,,True,False
2024-10-18,2024,10,18,4,False,False,,,True,False
2024-10-19,2024,10,19,5,True,False,,,True,False
2024-10-20,2024,10,20,6,True,False,,,True,False
2024-10-21,2024,10,21,0,False,False,,,True,False
2024-10-22,2024,10,22,1,False,False,,,True,False
2024-10-23,2024,10,23,2,False,False,,,True,False
2024-10-24,2024,10,24,3,False,False,,,True,False
2024-10-25,2024,10,25,4,False,False,,,True,False
2024-10-26,2024,10,26,5,True,False,,,True,False
2024-10-27,2024,10,27,6,True,False,,,True,False
2024-10-28,2024,10,28,0,False,True,Labour Day,,True,False
2024-10-29,2024,10,29,1,False,False,,,True,False
2024-10-30,2024,10,30,2,False,False,,,True,False
2024-10-31,2024,10,31,3,False,False,,,True,False
2024-11-01,2024,11,1,4,False,False,,,True,False
2024-11-02,2024,11,2,5,True,False,,,True,False
2024-11-03,2024,11,3,6,True,False,,,True,False
2024-11-04,2024,11,4,0,False,False,,,True,False
2024-11-05,2024,11,5,1,False,False,,,True,False
2024-11-06,2024,11,6,2,False,False,,,True,False
2024-11-07,2024,11,7,3,False,False,,,True,False
2024-11-08,2024,11,8,4,False,False,,,True,False
2024-11-09,2024,11,9,5,True,False,,,True,False
2024-11-10,2024,11,10,6,True,False,,,True,False
2024-11-11,2024,11,11,0,False,False,,,True,False
2024-11-12,2024,11,12,1,False,False,,,True,False
2024-11-13,2024,11,13,2,False,False,,,True,False
2024-11-14,2024,11,14,3,False,False,,,True,False
2024-11-15,2024,11,15,4,False,False,,,True,False
2024-11-16,2024,11,16,5,True,False,,,True,False
2024-11-17,2024,11,17,6,True,False,,,True,False
2024-11-18,2024,11,18,0,False,False,,,True,False
2024-11-19,2024,11,19,1,False,False,,,True,False
2024-11-20,2024,11,20,2,False,False,,,True,False
2024-11-21,2024,11,21,3,False,False,,,True,False
2024-11-22,2024,11,22,4,False,False,,,True,False
2024-11-23,2024,11,23,5,True,False,,,True,False
2024-11-24,2024,11,24,6,True,False,,,True,False
2024-11-25,2024,11,25,0,False,False,,,True,False
2024-11-26,2024,11,26,1,False,False,,,True,False
2024-11-27,2024,11,27,2,False,False,,,True,False
2024-11-28,2024,11,28,3,False,False,,,True,False
2024-11-29,2024,11,29,4,False,False,,,True,False
2024-11-30,2024,11,30,5,True,False,,,True,False
2024-12-01,2024,12,1,6,True,False,,,True,False
2024-12-02,2024,12,2,0,False,False,,,True,False
2024-12-03,2024,12,3,1,False,False,,,True,False
2024-12-04,2024,12,4,2,False,False,,,True,False
2024-12-05,2024,12,5,3,False,False,,,True,False
2024-12-06,2024,12,6,4,False,False,,,True,False
2024-12-07,2024,12,7,5,True,False,,,True,False
2024-12-08,2024,12,8,6,True,False,,,True,False
2024-12-09,2024,12,9,0,False,False,,,True,False
2024-12-10,2024,12,10,1,False,False,,,True,False
2024-12-11,2024,12,11,2,False,False,,,True,False
2024-12-12,2024,12,12,3,False,False,,,True,False
2024-12-13,2024,12,13,4,False,False,,,True,False
2024-12-14,2024,12,14,5,True,False,,,True,False
2024-12-15,2024,12,15,6,True,False,,,True,True
2024-12-16,2024,12,16,0,False,False,,,True,True
2024-12-17,2024,12,17,1,False,False,,,True,True
2024-12-18,2024,12,18,2,False,False,,,True,True
2024-12-19,2024,12,19,3,False,False,,,True,True
2024-12-20,2024,12,20,4,False,False,,,True,True
2024-12-21,2024,12,21,5,True,False,,,False,True
2024-12-22,2024,12,22,6,True,False,,,False,True
2024-12-23,2024,12,23,0,False,False,,,False,True
2024-12-24,2024,12,24,1,False,False,,,False,True
2024-12-25,2024,12,25,2,False,True,Christmas Day,,False,True
2024-12-26,2024,12,26,3,False,True,Boxing Day,,False,True
2024-12-27,2024,12,27,4,False,False,,,False,True
2024-12-28,2024,12,28,5,True,False,,,False,True
2024-12-29,2024,12,29,6,True,False,,,False,True
2024-12-30,2024,12,30,0,False,False,,,False,True
2024-12-31,2024,12,31,1,False,False,,,False,True
2025-01-01,2025,1,1,2,False,True,New Year's Day,,False,True
2025-01-02,2025,1,2,3,False,True,Day after New Year's Day,,False,True
2025-01-03,2025,1,3,4,False,False,,,False,True
2025-01-04,2025,1,4,5,True,False,,,False,True
2025-01-05,2025,1,5,6,True,False,,,False,True
2025-01-06,2025,1,6,0,False,False,,,False,True
2025-01-07,2025,1,7,1,False,False,,,False,True
2025-01-08,2025,1,8,2,False,False,,,False,True
2025-01-09,2025,1,9,3,False,False,,,False,True
2025-01-10,2025,1,10,4,False,False,,,False,True
2025-01-11,2025,1,11,5,True,False,,,False,True
2025-01-12,2025,1,12,6,True,False,,,False,True
2025-01-13,2025,1,13,0,False,False,,,False,True
2025-01-14,2025,1,14,1,False,False,,,False,True
2025-01-15,2025,1,15,2,False,False,,,False,True
2025-01-16,2025,1,16,3,False,False,,,False,False
2025-01-17,2025,1,17,4,False,False,,,False,False
2025-01-18,2025,1,18,5,True,False,,,False,False
2025-01-19,2025,1,19,6,True,False,,,False,False
2025-01-20,2025,1,20,0,False,True,Wellington Anniversary,Wellington,False,False
2025-01-21,2025,1,21,1,False,False,,,False,False
2025-01-22,2025,1,22,2,False,False,,,False,False
2025-01-23,2025,1,23,3,False,False,,,False,False
2025-01-24,2025,1,24,4,False,False,,,False,False
2025-01-25,2025,1,25,5,True,False,,,False,False
2025-01-26,2025,1,26,6,True,False,,,False,False
2025-01-27,2025,1,27,0,False,False,,,True,False
2025-01-28,2025,1,28,1,False,False,,,True,False
2025-01-29,2025,1,29,2,False,False,,,True,False
2025-01-30,2025,1,30,3,False,False,,,True,False
2025-01-31,2025,1,31,4,False,False,,,True,False
2025-02-01,2025,2,1,5,True,False,,,True,False
2025-02-02,2025,2,2,6,True,False,,,True,False
2025-02-03,2025,2,3,0,False,True,Auckland Anniversary,Auckland,True,False
2025-02-04,2025,2,4,1,False,False,,,True,False
2025-02-05,2025,2,5,2,False,False,,,True,False
2025-02-06,2025,2,6,3,False,True,Waitangi Day,,True,False
2025-02-07,2025,2,7,4,False,False,,,True,False
2025-02-08,2025,2,8,5,True,False,,,True,False
2025-02-09,2025,2,9,6,True,False,,,True,False
2025-02-10,2025,2,10,0,False,False,,,True,False
2025-02-11,2025,2,11,1,False,False,,,True,False
2025-02-12,2025,2,12,2,False,False,,,True,False
2025-02-13,2025,2,13,3,False,False,,,True,False
2025-02-14,2025,2,14,4,False,False,,,True,False
2025-02-15,2025,2,15,5,True,False,,,True,False
2025-02-16,2025,2,16,6,True,False,,,True,False
2025-02-17,2025,2,17,0,False,False,,,True,False
2025-02-18,2025,2,18,1,False,False,,,True,False
2025-02-19,2025,2,19,2,False,False,,,True,False
2025-02-20,2025,2,20,3,False,False,,,True,False
2025-02-21,2025,2,21,4,False,False,,,True,False
2025-02-22,2025,2,22,5,True,False,,,True,False
2025-02-23,2025,2,23,6,True,False,,,True,False
2025-02-24,2025,2,24,0,False,False,,,True,False
2025-02-25,2025,2,25,1,False,False,,,True,False
2025-02-26,2025,2,26,2,False,False,,,True,False
2025-02-27,2025,2,27,3,False,False,,,True,False
2025-02-28,2025,2,28,4,False,False,,,True,False
2025-03-01,2025,3,1,5,True,False,,,True,False
2025-03-02,2025,3,2,6,True,False,,,True,False
2025-03-03,2025,3,3,0,False,False,,,True,False
2025-03-04,2025,3,4,1,False,False,,,True,False
2025-03-05,2025,3,5,2,False,False,,,True,False
2025-03-06,2025,3,6,3,False,False,,,True,False
2025-03-07,2025,3,7,4,False,False,,,True,False
2025-03-08,2025,3,8,5,True,False,,,True,False
2025-03-09,2025,3,9,6,True,False,,,True,False
2025-03-10,2025,3,10,0,False,False,,,True,False
2025-03-11,2025,3,11,1,False,False,,,True,False
2025-03-12,2025,3,12,2,False,False,,,True,False
2025-03-13,2025,3,13,3,False,False,,,True,False
2025-03-14,2025,3,14,4,False,False,,,True,False
2025-03-15,2025,3,15,5,True,False,,,True,False
2025-03-16,2025,3,16,6,True,False,,,True,False
2025-03-17,2025,3,17,0,False,False,,,True,False
2025-03-18,2025,3,18,1,False,False,,,True,False
2025-03-19,2025,3,19,2,False,False,,,True,False
2025-03-20,2025,3,20,3,False,False,,,True,False
2025-03-21,2025,3,21,4,False,False,,,True,False
2025-03-22,2025,3,22,5,True,False,,,True,False
2025-03-23,2025,3,23,6,True,False,,,True,False
2025-03-24,2025,3,24,0,False,False,,,True,False
2025-03-25,2025,3,25,1,False,False,,,True,False
2025-03-26,2025,3,26,2,False,False,,,True,False
2025-03-27,2025,3,27,3,False,False,,,True,False
2025-03-28,2025,3,28,4,False,False,,,True,False
2025-03-29,2025,3,29,5,True,False,,,True,False
2025-03-30,2025,3,30,6,True,False,,,True,False
2025-03-31,2025,3,31,0,False,False,,,True,False
2025-04-01,2025,4,1,1,False,False,,,True,False
2025-04-02,2025,4,2,2,False,False,,,True,False
2025-04-03,2025,4,3,3,False,False,,,True,False
2025-04-04,2025,4,4,4,False,False,,,True,False
2025-04-05,2025,4,5,5,True,False,,,True,False
2025-04-06,2025,4,6,6,True,False,,,True,False
2025-04-07,2025,4,7,0,False,False,,,True,False
2025-04-08,2025,4,8,1,False,False,,,True,False
2025-04-09,2025,4,9,2,False,False,,,True,False
2025-04-10,2025,4,10,3,False,False,,,True,False
2025-04-11,2025,4,11,4,False,False,,,True,False
2025-04-12,2025,4,12,5,True,False,,,False,True
2025-04-13,2025,4,13,6,True,False,,,False,True
2025-04-14,2025,4,14,0,False,False,,,False,True
2025-04-15,2025,4,15,1,False,False,,,False,True
2025-04-16,2025,4,16,2,False,False,,,False,True
2025-04-17,2025,4,17,3,False,False,,,False,True
2025-04-18,2025,4,18,4,False,True,Good Friday,,False,True
2025-04-19,2025,4,19,5,True,False,,,False,True
2025-04-20,2025,4,20,6,True,False,,,False,True
2025-04-21,2025,4,21,0,False,True,Easter Monday,,False,True
2025-04-22,2025,4,22,1,False,False,,,False,True
2025-04-23,2025,4,23,2,False,False,,,False,True
2025-04-24,2025,4,24,3,False,False,,,False,True
2025-04-25,2025,4,25,4,False,True,ANZAC Day,,False,True
2025-04-26,2025,4,26,5,True,False,,,False,True
2025-04-27,2025,4,27,6,True,False,,,False,True
2025-04-28,2025,4,28,0,False,False,,,True,False
2025-04-29,2025,4,29,1,False,False,,,True,False
2025-04-30,2025,4,30,2,False,False,,,True,False
2025-05-01,2025,5,1,3,False,False,,,True,False
2025-05-02,2025,5,2,4,False,False,,,True,False
2025-05-03,2025,5,3,5,True,False,,,True,False
2025-05-04,2025,5,4,6,True,False,,,True,False
2025-05-05,2025,5,5,0,False,False,,,True,False
2025-05-06,2025,5,6,1,False,False,,,True,False
2025-05-07,2025,5,7,2,False,False,,,True,False
2025-05-08,2025,5,8,3,False,False,,,True,False
2025-05-09,2025,5,9,4,False,False,,,True,False
2025-05-10,2025,5,10,5,True,False,,,True,False
2025-05-11,2025,5,11,6,True,False,,,True,False
2025-05-12,2025,5,12,0,False,False,,,True,False
2025-05-13,2025,5,13,1,False,False,,,True,False
2025-05-14,2025,5,14,2,False,False,,,True,False
2025-05-15,2025,5,15,3,False,False,,,True,False
2025-05-16,2025,5,16,4,False,False,,,True,False
2025-05-17,2025,5,17,5,True,False,,,True,False
2025-05-18,2025,5,18,6,True,False,,,True,False
2025-05-19,2025,5,19,0,False,False,,,True,False
2025-05-20,2025,5,20,1,False,False,,,True,False
2025-05-21,2025,5,21,2,False,False,,,True,False
