store_id,date,day_of_week,is_weekend,is_public_holiday,is_school_term,is_retail_peak,demand_index,transaction_count,sales_amount
1,2024-07-01,0,False,False,True,False,84.23,84,2956.41
2,2024-07-01,0,False,False,True,False,121.05,121,5763.94
3,2024-07-01,0,False,False,True,False,101.55,102,5477.78
4,2024-07-01,0,False,False,True,False,139.96,140,5184.53
5,2024-07-01,0,False,False,True,False,126.4,126,5126.17
6,2024-07-01,0,False,False,True,False,144.17,144,5589.4
7,2024-07-01,0,False,False,True,False,139.75,140,5274.32
8,2024-07-01,0,False,False,True,False,122.61,123,4725.61
9,2024-07-01,0,False,False,True,False,77.5,77,2965.06
10,2024-07-01,0,False,False,True,False,96.52,97,4110.21
11,2024-07-01,0,False,False,True,False,179.33,179,6422.19
12,2024-07-01,0,False,False,True,False,109.81,110,5062.15
1,2024-07-02,1,False,False,True,False,110.82,111,5862.1
2,2024-07-02,1,False,False,True,False,165.65,166,8666.47
3,2024-07-02,1,False,False,True,False,80.35,80,4032.26
4,2024-07-02,1,False,False,True,False,108.64,109,5068.54
5,2024-07-02,1,False,False,True,False,116.2,116,5583.08
6,2024-07-02,1,False,False,True,False,154.28,154,7026.91
7,2024-07-02,1,False,False,True,False,134.04,134,5529.54
8,2024-07-02,1,False,False,True,False,106.12,106,5046.89
9,2024-07-02,1,False,False,True,False,71.01,71,2994.01
10,2024-07-02,1,False,False,True,False,154.16,154,7496.62
11,2024-07-02,1,False,False,True,False,193.84,194,6864.93
12,2024-07-02,1,False,False,True,False,116.28,116,5302.4
1,2024-07-03,2,False,False,True,False,82.84,83,3324.82
2,2024-07-03,2,False,False,True,False,176.7,177,6591.49
3,2024-07-03,2,False,False,True,False,66.01,66,3607.52
4,2024-07-03,2,False,False,True,False,131.19,131,4954.02
5,2024-07-03,2,False,False,True,False,112.66,113,4165.39
6,2024-07-03,2,False,False,True,False,169.7,170,6279.29
7,2024-07-03,2,False,False,True,False,124.68,125,4764.9
8,2024-07-03,2,False,False,True,False,154.12,154,6884.15
9,2024-07-03,2,False,False,True,False,83.11,83,4478.71
10,2024-07-03,2,False,False,True,False,124.87,125,6091.18
11,2024-07-03,2,False,False,True,False,181.17,181,7852.45
12,2024-07-03,2,False,False,True,False,107.84,108,5035.84
1,2024-07-04,3,False,False,True,False,117.02,117,6025.35
2,2024-07-04,3,False,False,True,False,153.79,154,8404.62
3,2024-07-04,3,False,False,True,False,100.68,101,5475.79
4,2024-07-04,3,False,False,True,False,103.61,104,3784.93
5,2024-07-04,3,False,False,True,False,202.4,202,7566.6
6,2024-07-04,3,False,False,True,False,172.48,172,8615.69
7,2024-07-04,3,False,False,True,False,131.33,131,5312.3
8,2024-07-04,3,False,False,True,False,116.56,117,5445.7
9,2024-07-04,3,False,False,True,False,94.93,95,4065.25
10,2024-07-04,3,False,False,True,False,125.6,126,6796.83
11,2024-07-04,3,False,False,True,False,203.33,203,9306.57
12,2024-07-04,3,False,False,True,False,94.67,95,4007.61
1,2024-07-05,4,False,False,True,False,119.19,119,5045.81
2,2024-07-05,4,False,False,True,False,161.71,162,6240.79
3,2024-07-05,4,False,False,True,False,64.59,65,2437.85
4,2024-07-05,4,False,False,True,False,121.5,121,4428.69
5,2024-07-05,4,False,False,True,False,192.26,192,7535.19
6,2024-07-05,4,False,False,True,False,121.45,121,5620.37
7,2024-07-05,4,False,False,True,False,165.82,166,7113.98
8,2024-07-05,4,False,False,True,False,122.28,122,5230.03
9,2024-07-05,4,False,False,True,False,110.54,111,5624.47
10,2024-07-05,4,False,False,True,False,158.92,159,8285.18
11,2024-07-05,4,False,False,True,False,150.24,150,6182.46
12,2024-07-05,4,False,False,True,False,162.14,162,8895.51
1,2024-07-06,5,True,False,False,True,212.06,212,9417.31
2,2024-07-06,5,True,False,False,True,307.38,307,10973.57
3,2024-07-06,5,True,False,False,True,149.97,150,7908.62
4,2024-07-06,5,True,False,False,True,264.42,264,12871.53
5,2024-07-06,5,True,False,False,True,253.51,254,9679.83
6,2024-07-06,5,True,False,False,True,261.48,261,11170.12
7,2024-07-06,5,True,False,False,True,171.44,171,8846.49
8,2024-07-06,5,True,False,False,True,157.72,158,6072.08
9,2024-07-06,5,True,False,False,True,89.56,90,3457.08
10,2024-07-06,5,True,False,False,True,230.38,230,12130.86
11,2024-07-06,5,True,False,False,True,264.61,265,9366.61
12,2024-07-06,5,True,False,False,True,222.65,223,12015.04
1,2024-07-07,6,True,False,False,True,139.0,139,6159.84
2,2024-07-07,6,True,False,False,True,224.75,225,11990.91
3,2024-07-07,6,True,False,False,True,129.84,130,5324.51
4,2024-07-07,6,True,False,False,True,214.3,214,9262.98
5,2024-07-07,6,True,False,False,True,415.07,415,20300.07
6,2024-07-07,6,True,False,False,True,203.07,203,8965.11
7,2024-07-07,6,True,False,False,True,159.0,159,6434.85
8,2024-07-07,6,True,False,False,True,252.48,252,10373.7
9,2024-07-07,6,True,False,False,True,146.63,147,6356.09
