employee_id,base_hourly_rate,kiwisaver_employer_rate,kiwisaver_employer_cost_per_hour,leave_loading_rate,leave_loading_cost_per_hour,insurance_monthly_cost,insurance_cost_per_hour,flexibility_premium_rate,flexibility_premium_cost_per_hour,fully_loaded_cost_per_hour
1,44.78,0.03,1.34,0.08,3.58,71.88,0.45,0.0152,0.68,50.84
2,26.49,0.03,0.79,0.08,2.12,39.69,0.25,0.0128,0.34,29.99
3,27.46,0.03,0.82,0.08,2.2,32.32,0.2,0.0406,1.11,31.8
4,27.48,0.03,0.82,0.08,2.2,54.34,0.34,0.0294,0.81,31.65
5,25.97,0.03,0.78,0.08,2.08,39.75,0.25,0.0251,0.65,29.73
6,27.35,0.03,0.82,0.08,2.19,50.89,0.32,0.0364,0.99,31.67
7,27.11,0.03,0.81,0.08,2.17,12.55,0.08,0.0453,1.23,31.4
8,25.86,0.03,0.78,0.08,2.07,0.0,0.0,0.018,0.47,29.17
9,29.17,0.03,0.88,0.08,2.33,55.54,0.35,0.0313,0.91,33.64
10,25.68,0.03,0.77,0.08,2.05,63.94,0.4,0.0571,1.47,30.37
11,26.2,0.03,0.79,0.08,2.1,14.92,0.09,0.023,0.6,29.78
12,25.08,0.03,0.75,0.08,2.01,44.41,0.28,0.0487,1.22,29.34
13,29.35,0.03,0.88,0.08,2.35,42.06,0.26,0.0308,0.9,33.74
14,28.78,0.03,0.86,0.08,2.3,48.81,0.31,0.0444,1.28,33.53
15,25.89,0.03,0.78,0.08,2.07,51.92,0.32,0.0517,1.34,30.4
16,38.31,0.03,1.15,0.08,3.06,24.54,0.15,0.047,1.8,44.48
17,25.36,0.03,0.76,0.08,2.03,0.0,0.0,0.0492,1.25,29.4
18,25.97,0.03,0.78,0.08,2.08,61.2,0.38,0.022,0.57,29.78
19,44.89,0.03,1.35,0.08,3.59,52.53,0.33,0.0519,2.33,52.49
20,29.03,0.03,0.87,0.08,2.32,0.0,0.0,0.0259,0.75,32.98
21,25.25,0.03,0.76,0.08,2.02,53.7,0.34,0.0406,1.03,29.39
22,27.59,0.03,0.83,0.08,2.21,41.84,0.26,0.0591,1.63,32.52
23,27.1,0.03,0.81,0.08,2.17,35.17,0.22,0.0538,1.46,31.76
24,26.65,0.03,0.8,0.08,2.13,43.14,0.27,0.0416,1.11,30.96
25,26.07,0.03,0.78,0.08,2.09,58.51,0.37,0.0592,1.54,30.85
26,25.7,0.03,0.77,0.08,2.06,0.0,0.0,0.0194,0.5,29.03
27,26.15,0.03,0.78,0.08,2.09,0.0,0.0,0.0487,1.27,30.3
28,41.31,0.03,1.24,0.08,3.3,0.0,0.0,0.0397,1.64,47.49
29,26.25,0.03,0.79,0.08,2.1,40.01,0.25,0.0524,1.37,30.76
30,27.12,0.03,0.81,0.08,2.17,64.38,0.4,0.0366,0.99,31.5
31,32.91,0.03,0.99,0.08,2.63,49.41,0.31,0.0517,1.7,38.54
32,32.47,0.03,0.97,0.08,2.6,46.38,0.29,0.05,1.62,37.95
33,25.52,0.03,0.77,0.08,2.04,61.73,0.39,0.0323,0.83,29.54
34,26.9,0.03,0.81,0.08,2.15,34.92,0.22,0.0417,1.12,31.2
35,29.2,0.03,0.88,0.08,2.34,47.97,0.3,0.0287,0.84,33.55
36,25.54,0.03,0.77,0.08,2.04,51.05,0.32,0.0589,1.5,30.17
37,31.5,0.03,0.94,0.08,2.52,29.68,0.19,0.0256,0.81,35.96
38,36.56,0.03,1.1,0.08,2.92,0.0,0.0,0.0328,1.2,41.78
39,32.44,0.03,0.97,0.08,2.6,63.79,0.4,0.0386,1.25,37.66
40,25.34,0.03,0.76,0.08,2.03,0.0,0.0,0.0228,0.58,28.71
41,28.02,0.03,0.84,0.08,2.24,35.85,0.22,0.0416,1.17,32.49
42,25.39,0.03,0.76,0.08,2.03,33.11,0.21,0.0585,1.49,29.88
43,27.3,0.03,0.82,0.08,2.18,62.36,0.39,0.0307,0.84,31.53
44,29.72,0.03,0.89,0.08,2.38,67.54,0.42,0.0424,1.26,34.67
45,26.72,0.03,0.8,0.08,2.14,40.54,0.25,0.0009,0.02,29.94
46,27.13,0.03,0.81,0.08,2.17,40.31,0.25,0.0367,0.99,31.36
47,27.95,0.03,0.84,0.08,2.24,0.0,0.0,0.0331,0.92,31.95
48,29.31,0.03,0.88,0.08,2.34,53.23,0.33,0.0264,0.77,33.64
49,25.08,0.03,0.75,0.08,2.01,29.45,0.18,0.0515,1.29,29.31
